Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
161_11_1zu3_wdh_20200610010406	161_11_1zu3_wdh_20200610010406	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		18797	37995	0	59024	16962	0	42062	1389	1260	0	129	2.4	7.4	0	0.31	592	677302	23777	3.5	2228	9.4	39869	13419	12447	34	59	2541	19	+	0.51385	0.74061	0.32173	0.48628	
161_12_1zu3_90min_3ul	161_12_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14519	47121	0	79740	14482	0	65258	1821	1584	0	237	2.3	11	0	0.36	249	506898	23839	4.7	5151	22	17575	6019	5012	34	55	2966	49	+	0.36437	0.59527	0.22662	0.37186	
161_13_1zu3_90min_3ul	161_13_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14989	46528	0	80452	12594	0	67858	1219	943	0	276	1.5	7.5	0	0.41	125	558305	22238	4	4726	21	15884	4530	3646	29	47	2116	47	+	0.45584	0.6201	0.27167	0.37995	
161_14_1zu3_90min_3ul	161_14_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14911	46403	0	78842	13956	0	64886	1329	1011	0	318	1.7	7.2	0	0.49	123	548712	22117	4	5034	23	16585	4928	3994	30	47	2350	48	+	0.44899	0.5916	0.26417	0.36208	
161_15_pur_wdh	161_15_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13635	49590	0	66966	32214	0	34752	4974	4638	0	336	7.4	14	0	0.97	2400	641913	37898	5.9	2438	6.4	63823	27604	27077	43	58	3648	13	+	0.59067	0.84374	0.39626	0.60177	
161_16_pur_wdh	161_16_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17448	40541	0	60211	20867	0	39344	1872	1727	0	145	3.1	8.3	0	0.37	774	657534	27969	4.3	2555	9.1	47684	16733	15990	35	58	2875	17	+	0.54583	0.76887	0.34019	0.4961	
161_17_pur_wdh	161_17_pur_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17081	41171	0	58001	24341	0	33660	2659	2390	0	269	4.6	9.8	0	0.8	1183	698076	30145	4.3	2265	7.5	55107	20156	19540	37	57	3040	15	+	0.58228	0.82304	0.36164	0.53415	
161_18_1zu3_90min_3ul	161_18_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		9582	59238	0	90170	28302	0	61868	10346	7836	0	2510	11	28	0	4.1	1270	281965	30453	11	6628	22	20891	12378	11882	59	67	4866	39	+	0.61423	0.90412	0.40995	0.64003	
161_19_1zu3_90min_3ul	161_19_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		10283	54576	0	85258	23880	0	61378	6470	5330	0	1140	7.6	22	0	1.9	745	292010	27098	9.3	5454	20	18806	9941	9466	53	61	3739	38	+	0.67351	0.96295	0.41367	0.6013	
161_1_1zu3_90min_5ul	161_1_1zu3_90min_5ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15564	45748	0	72203	19275	0	52928	1620	1340	0	280	2.2	7	0	0.53	445	550107	34502	6.3	3920	11	30940	14028	12633	45	64	3119	22	+	0.42726	0.64374	0.24404	0.39296	
161_20_90min_wdh	161_20_90min_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		11792	53093	0	74121	32055	0	42066	10323	8526	0	1797	14	27	0	4.3	1472	442425	31126	7	5454	18	32982	15771	15262	48	56	4502	29	+	0.69169	0.98781	0.46357	0.69093	
161_21_1zu3_wdh	161_21_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14202	46256	0	62966	29542	0	33424	3811	3507	0	304	6.1	12	0	0.91	1744	517711	36452	7	2410	6.6	52633	24975	24431	47	58	3494	14	+	0.63013	0.88876	0.42084	0.63451	
161_22_1zu3_wdh	161_22_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14622	47246	0	63698	30794	0	32904	3083	2867	0	216	4.8	9.3	0	0.66	1552	577689	37948	6.6	2285	6	58511	26686	26135	46	56	3333	12	+	0.66144	0.91823	0.44099	0.66316	
161_23_1zu3_wdh	161_23_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14169	46122	0	63352	28892	0	34460	3969	3721	0	248	6.3	13	0	0.72	2020	633937	36239	5.7	2485	6.9	61108	24829	24338	41	54	3195	13	+	0.63196	0.88713	0.40944	0.60486	
161_24_1zu3_90min_3ul	161_24_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		10721	53221	0	78706	27722	0	50984	6548	5158	0	1390	8.3	19	0	2.7	1048	307533	27659	9	5067	18	25273	13371	12900	53	61	3803	28	+	0.70429	0.96636	0.45455	0.64962	
161_25_1zu3_90min_5ul	161_25_1zu3_90min_5ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		11436	54364	0	78211	30515	0	47696	6006	5388	0	618	7.7	18	0	1.3	1618	537335	37322	6.9	6492	17	35559	17897	16935	50	65	6484	36	+	0.61474	0.8699	0.38884	0.5716	
161_26_1zu3_90min_3ul	161_26_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		11235	52213	0	78630	25794	0	52836	4608	4245	0	363	5.9	16	0	0.69	2142	525372	37204	7.1	4889	13	36802	18947	18230	51	60	4429	23	+	0.59637	0.85929	0.36356	0.54319	
161_27_1zu3_90min_3ul	161_27_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		10666	54551	0	80660	28440	0	52220	4947	4511	0	436	6.1	16	0	0.83	2200	523255	38428	7.3	4834	13	40929	20823	20083	51	58	4730	23	+	0.60683	0.87459	0.38522	0.57761	
161_28_1zu3_wdh	161_28_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12973	48517	0	68099	28935	0	39164	3955	3636	0	319	5.8	13	0	0.81	2118	491972	37246	7.6	2040	5.5	53095	25015	24455	47	56	3050	12	+	0.66416	0.91492	0.43529	0.63812	
161_29_1zu3_90min_3ul	161_29_1zu3_90min_3ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		9358	55889	0	83135	28625	0	54510	11880	9723	0	2157	14	34	0	4	1896	295018	29920	10	4938	17	27330	14717	14174	54	61	3711	25	+	0.70652	1.0141	0.46854	0.71313	
161_2_1zu3_90min_5ul	161_2_1zu3_90min_5ul	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12855	50849	0	82545	19135	0	63410	818	749	0	69	0.99	3.9	0	0.11	118	489798	30377	6.2	6496	21	24361	9213	7507	38	63	4025	44	+	0.4434	0.64946	0.27615	0.4305	
161_30_1zu3_wdh	161_30_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15126	44947	0	62907	26985	0	35922	4407	4100	0	307	7	15	0	0.85	2401	616263	34919	5.7	2457	7	53285	23098	22642	43	53	3079	13	+	0.62417	0.89456	0.40245	0.60474	
161_31_1zu3_wdh	161_31_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13729	47979	0	65084	30874	0	34210	3692	3481	0	211	5.7	11	0	0.62	2163	648169	41242	6.4	3153	7.6	50410	25971	25197	52	63	3732	14	+	0.61514	0.85936	0.38721	0.57292	
161_32_1zu3_wdh	161_32_1zu3_wdh	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13731	46710	0	67446	25974	0	41472	4397	4056	0	341	6.5	16	0	0.82	2351	439904	34842	7.9	2362	6.8	45920	22108	21591	48	58	2859	13	+	0.60275	0.84554	0.38764	0.57926	
